"0","black"
"1","pink"
"2","green"
"3","blue"
"4","yellow"
"5","purple"
"6","notifpink"
"7","lightgreen"
"8","lightblue"
"9","lightyellow"
"10","brightpink"
"11","gray"
"more","unknown"
